file_number,timestamp_sec,timestamp_hours,timestamp_days,n_persistence_pixels,persistence_fraction,persistence_strength,persistence_max,diff_mean,diff_std
1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2,720,0.2,0.008333333333333333,92,5.505110657511269e-06,3881.0132,233618.02,0.021259444,71.26869
3,1440,0.4,0.016666666666666666,107,6.402683047322889e-06,609.71246,233618.02,0.0035673536,60.858612
4,2160,0.6,0.025,199,1.1907793704834158e-05,525.7739,124250.55,0.0060110018,31.686739
5,2880,0.8,0.03333333333333333,96,5.744463294794368e-06,1672.7212,233618.02,0.009430554,60.159725
6,3600,1.0,0.041666666666666664,102,6.1034922507190155e-06,557.6537,196422.9,0.0030495985,64.28074
7,4320,1.2,0.05,106,6.342844888002114e-06,-1152.3601,204850.06,-0.0075775157,65.89725
8,5040,1.4,0.058333333333333334,95,5.684625135473593e-06,1057.9711,233618.02,0.0052779536,62.754585
9,5760,1.6,0.06666666666666667,80,4.787052745661973e-06,-1318.8629,254226.17,-0.0065182913,86.19783
10,6480,1.8,0.075,103,6.16333041003979e-06,27.50446,213047.88,-0.0005564409,64.47256
11,7200,2.0,0.08333333333333333,113,6.7617120032475365e-06,885.7458,161135.75,0.0055152103,60.971313
12,7920,2.2,0.09166666666666666,79,4.727214586341198e-06,1169.8022,278543.25,0.0050323918,86.66822
13,8640,2.4,0.1,92,5.505110657511269e-06,-81.2981,240967.42,-0.0011035879,74.694466
14,9360,2.6,0.10833333333333334,124,7.4199317557760575e-06,-693.54706,187464.66,-0.005919477,54.815506
15,10080,2.8,0.11666666666666667,63,3.7698040372088034e-06,-2923.6682,375644.9,-0.012102364,109.9791
16,10800,3.0,0.125,91,5.445272498190494e-06,2003.3003,233618.02,0.010124597,66.365845
17,11520,3.2,0.13333333333333333,132,7.898637030342255e-06,282.5047,182793.94,0.0015240669,51.6558
18,12240,3.4,0.14166666666666666,101,6.043654091398241e-06,2304.0942,233618.02,0.012785448,62.46716
19,12960,3.6,0.15,100,5.983815932077466e-06,1969.1062,233618.02,0.01101033,63.869102
20,13680,3.8,0.15833333333333333,104,6.223168569360565e-06,462.61838,232824.28,0.0021072167,60.43137
21,14400,4.0,0.16666666666666666,114,6.821550162568311e-06,790.8839,233618.02,0.004413668,63.740738
